job_id,job_title,job_category,experience_level,skills_core,skills_common,skills_optional,soft_skills
junior_talent_acquisition_specialist,Junior Talent Acquisition Specialist,Staff And Recruiting,Junior,applicant tracking system navigation|candidate sourcing|interview coordination|phone screening|job requirement analysis,boolean searching|email outreach|calendar management|social media recruiting|data accuracy|reference verification,video interview setup|database organization|event assistance|social content creation,clear communication|time management|attention to detail|adaptability
talent_acquisition_specialist,Talent Acquisition Specialist,Staff And Recruiting,Mid,applicant tracking system navigation|candidate sourcing|interview coordination|phone screening|full-cycle recruitment|advanced ats configuration,boolean and x-ray searching|employer value proposition execution|candidate experience optimization|panel interview coordination|basic compensation benchmarking|diversity sourcing techniques,predictive hiring analytics|automation tool integration|campus recruiting programs|assessment platform administration,relationship building|conflict resolution|decision making|coaching and feedback
senior_talent_acquisition_specialist,Senior Talent Acquisition Specialist,Staff And Recruiting,Senior,applicant tracking system navigation|candidate sourcing|interview coordination|phone screening|full-cycle recruitment|strategic workforce planning,advanced recruitment metrics design|employer brand strategy|complex stakeholder management|process optimization|ai-driven sourcing strategies|compliance and legal risk mitigation,global mobility program design|predictive modeling implementation|proprietary algorithm development|thought leadership publishing,executive presence|strategic vision|persuasive influence|emotional intelligence
junior_sourcing_specialist,Junior Sourcing Specialist,Staff And Recruiting,Junior,boolean search fundamentals|candidate outreach and communication|applicant tracking system navigation|initial resume screening|data entry and record keeping,job board utilization|social media prospecting basics|phone screening fundamentals|scheduling and coordination|compliance and confidentiality awareness|calendar and task management|feedback collection,basic spreadsheet formulas|crm software familiarity|entry level industry knowledge|local networking event attendance,attention to detail|proactive learning mindset|reliability and punctuality|clear written communication
sourcing_specialist,Sourcing Specialist,Staff And Recruiting,Mid,boolean search fundamentals|candidate outreach and communication|applicant tracking system navigation|initial resume screening|advanced market mapping|talent pipeline development,xray search techniques|linkedin recruiting optimization|stakeholder relationship management|recruitment metrics tracking|negotiation preparation support|niche community engagement|interview coordination,salesforce recruit or equivalent crms|basic sql or data querying|employer brand content contribution|diversity sourcing initiatives,collaborative problem solving|time management and prioritization|constructive feedback delivery|resilience under pressure
senior_sourcing_specialist,Senior Sourcing Specialist,Staff And Recruiting,Senior,boolean search fundamentals|candidate outreach and communication|applicant tracking system navigation|initial resume screening|talent acquisition strategy design|advanced sourcing framework development,artificial intelligence and automation integration|predictive workforce planning|cost per hire analytics|rpo and vendor contract management|executive stakeholder partnership|process optimization and scaling|market intelligence compilation,custom python scraping scripts|advanced bi dashboard creation|industry conference speaker role|recruitment tech stack architecture,strategic vision and foresight|executive presence and influence|conflict resolution and mediation|adaptive leadership style
junior_technical_recruiter,Junior Technical Recruiter,Staff And Recruiting,Junior,technical sourcing fundamentals|ats proficiency|candidate screening calls|job requisition management|boolean search basics|interview coordination,social media recruiting|email outreach campaigns|calendar management|reference checking|compliance documentation|candidate experience management|basic technical terminology knowledge|interview scheduling software usage,career site management|referral program tracking|job board administration|applicant tracking system reporting|campus recruiting support,active listening|empathy|time management|attention to detail|adaptability
technical_recruiter,Technical Recruiter,Staff And Recruiting,Mid,technical sourcing fundamentals|ats proficiency|candidate screening calls|advanced boolean search|stakeholder management|pipeline development,employer branding collaboration|contract negotiation basics|technical role mapping|diversity recruitment initiatives|data-driven sourcing|market mapping|candidate relationship management,compensation benchmarking|background check coordination|alumni network building|recruiting marketing campaigns|internal mobility facilitation,negotiation persuasion|cross-functional collaboration|problem solving|resilience|clear communication
senior_technical_recruiter,Senior Technical Recruiter,Staff And Recruiting,Senior,technical sourcing fundamentals|ats proficiency|candidate screening calls|advanced boolean search|strategic recruitment planning|team leadership,process architecture and design|hiring workflow optimization|scaling recruitment frameworks|predictive resource modeling|strategic workforce planning|executive stakeholder alignment|departmental capability mapping,crm implementation oversight|predictive hiring modeling|global relocation coordination|university partnership development|internal coaching programs,executive presence|conflict resolution|strategic thinking|mentoring and coaching|decisive leadership
junior_campus_recruiter,Junior Campus Recruiter,Staff And Recruiting,Junior,campus sourcing|applicant tracking systems|resume screening|interview scheduling|candidate communication,university database management|job posting creation|event coordination support|data entry|social media recruiting|reference checking|compliance documentation,campus marketing design|internship program administration|diversity outreach|video interviewing platforms|candidate feedback surveys,active listening|time management|adaptability|attention to detail
campus_recruiter,Campus Recruiter,Staff And Recruiting,Mid,campus sourcing|applicant tracking systems|resume screening|interview scheduling|candidate communication|pipeline management,university partnership development|campus event planning|market intelligence gathering|compensation coordination|metrics reporting|cross-functional collaboration|graduate program coordination,virtual career fair hosting|ai sourcing tools|alumni networking|content creation|predictive analytics,negotiation|problem solving|empathy|decision making
senior_campus_recruiter,Senior Campus Recruiter,Staff And Recruiting,Senior,campus sourcing|applicant tracking systems|resume screening|interview scheduling|candidate communication|recruiting architecture design,university alliance building|workforce planning|team mentoring|budget forecasting|crisis management|executive briefing|program scaling,thought leadership|ecosystem partner integration|automation workflow design|internal mobility mapping|culture assessment,strategic vision|conflict resolution|executive presence|change management
junior_diversity_recruiter,Junior Diversity Recruiter,Staff And Recruiting,Junior,resume screening|candidate outreach|applicant tracking systems|job posting optimization|equal employment opportunity compliance,calendar management|email drafting|data entry accuracy|reference checks|basic networking|scheduling interviews|onboarding coordination,social media sourcing|event attendance|basic crm integration,active listening|empathy|adaptability|cultural awareness
diversity_recruiter,Diversity Recruiter,Staff And Recruiting,Mid,resume screening|candidate outreach|applicant tracking systems|diverse talent pipeline development|inclusive interview structuring,recruiting metrics analysis|campus relations|employee referral program management|diversity community engagement|contract negotiation basics|interview feedback synthesis|market mapping|stakeholder reporting,ai sourcing tools|video interviewing platforms|alumni network management|benefits counseling|localization support,stakeholder management|conflict resolution|persuasive communication|coaching mindset|time management
senior_diversity_recruiter,Senior Diversity Recruiter,Staff And Recruiting,Senior,resume screening|candidate outreach|applicant tracking systems|diverse talent pipeline development|inclusive interview structuring|diversity equity inclusion strategy,recruitment analytics dashboarding|vendor and agency oversight|compensation benchmarking|hr business partner collaboration|talent acquisition operations|employer branding alignment|change management,predictive hiring modeling|global mobility strategy|ai-driven bias detection|executive search methodology|organizational psychology application,strategic leadership|cross-cultural negotiation|executive presence|mentoring and delegation|systems thinking
junior_recruitment_marketing_specialist,Junior Recruitment Marketing Specialist,Staff And Recruiting,Junior,content creation|social media management|email marketing|crm management,campaign tracking|hr tech familiarity|graphic design basics|competitor analysis|event support|copywriting fundamentals|performance reporting,video editing|ai content generation|localization for global roles|accessibility auditing,attention to detail|adaptability|time management|receptive to feedback|collaborative communication
recruitment_marketing_specialist,Recruitment Marketing Specialist,Staff And Recruiting,Mid,content creation|social media management|email marketing|crm management|marketing automation,campaign strategy|marketing analytics|ab testing|cross-channel coordination|applicant tracking systems|vendor management|stakeholder liaison,programmatic advertising|influencer partnerships|interactive content development|predictive modeling,proactive problem solving|conflict resolution|presentation skills|mentoring capability
